num 	 time
1 	 48
2 	 99
3 	 150
4 	 202
5 	 254
6 	 307
7 	 360
8 	 414
9 	 468
10 	 525
11 	 580
12 	 635
13 	 693
14 	 751
15 	 809
16 	 869
17 	 928
18 	 988
19 	 1050
20 	 1113
21 	 1173
22 	 1237
23 	 1298
24 	 1361
25 	 1425
26 	 1492
27 	 1557
28 	 1626
29 	 1690
30 	 1758
31 	 1826
32 	 1890
33 	 1957
34 	 2026
35 	 2099
36 	 2169
37 	 2249
38 	 2350
39 	 2394
40 	 2559
41 	 2630
42 	 2637
43 	 2789
44 	 2857
45 	 2919
46 	 2950
47 	 3031
48 	 3093
49 	 3193
50 	 3249
51 	 3263
52 	 3312
53 	 3369
54 	 3413
55 	 3800
56 	 3901
57 	 3978
58 	 4076
59 	 4134
60 	 4261
61 	 4402
62 	 4502
63 	 4701
64 	 4708
65 	 4760
66 	 4812
67 	 4881
68 	 5046
69 	 5097
70 	 5241
71 	 5313
72 	 5499
73 	 5634
74 	 5762
75 	 5769
76 	 5835
77 	 5963
78 	 5978
79 	 5985
80 	 6069
81 	 6091
82 	 6137
83 	 6175
84 	 6212
85 	 6304
86 	 6394
87 	 6487
88 	 6546
89 	 6599
90 	 6609
91 	 6757
92 	 6840
93 	 6929
94 	 6940
95 	 7029
96 	 7095
97 	 7133
98 	 7171
99 	 7221
100 	 7265
TOTAL100 	 7265
