num 	 Acumtime 	 TimeIns
1 	 48 	 48
2 	 96 	 48
3 	 146 	 50
4 	 198 	 52
5 	 251 	 53
6 	 302 	 51
7 	 354 	 52
8 	 407 	 53
9 	 462 	 55
10 	 517 	 55
11 	 575 	 58
12 	 629 	 54
13 	 686 	 57
14 	 745 	 59
15 	 802 	 57
16 	 863 	 61
17 	 922 	 59
18 	 984 	 62
19 	 1046 	 62
20 	 1106 	 60
21 	 1168 	 62
22 	 1231 	 63
23 	 1292 	 61
24 	 1358 	 66
25 	 1424 	 66
26 	 1489 	 65
27 	 1559 	 70
28 	 1626 	 67
29 	 1692 	 66
30 	 1759 	 67
31 	 1825 	 66
32 	 1897 	 72
33 	 1966 	 69
34 	 2034 	 68
35 	 2089 	 55
36 	 2306 	 217
37 	 2359 	 53
38 	 2460 	 101
39 	 2523 	 63
40 	 2701 	 178
41 	 2877 	 176
42 	 2954 	 77
43 	 3010 	 56
44 	 3084 	 74
45 	 3136 	 52
46 	 3187 	 51
47 	 3313 	 126
48 	 3407 	 94
49 	 3507 	 100
50 	 3629 	 122
51 	 3824 	 195
52 	 4040 	 216
53 	 4230 	 190
54 	 4357 	 127
55 	 5199 	 842
56 	 5502 	 303
57 	 5695 	 193
58 	 5754 	 59
59 	 5843 	 89
60 	 6014 	 171
61 	 6118 	 104
62 	 6263 	 145
63 	 6470 	 207
64 	 6640 	 170
65 	 6730 	 90
66 	 6866 	 136
67 	 7091 	 225
68 	 7303 	 212
69 	 7521 	 218
70 	 7649 	 128
71 	 7761 	 112
72 	 7931 	 170
73 	 7978 	 47
74 	 8235 	 257
75 	 8344 	 109
76 	 8415 	 71
77 	 8715 	 300
78 	 8762 	 47
79 	 8858 	 96
80 	 8922 	 64
81 	 9060 	 138
82 	 9142 	 82
83 	 9218 	 76
84 	 9321 	 103
85 	 9393 	 72
86 	 9458 	 65
87 	 11419 	 1961
88 	 11588 	 169
89 	 11717 	 129
90 	 11922 	 205
91 	 11985 	 63
92 	 12096 	 111
93 	 12163 	 67
94 	 12209 	 46
95 	 13056 	 847
96 	 13104 	 48
97 	 13238 	 134
98 	 13435 	 197
99 	 13760 	 325
100 	 13931 	 171
TOTAL100 	 13931
