Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address      Load       Tokens       Owns (effective)  Host ID                               Rack
UN  172.17.0.17  447.29 KB  256          2.3%              06ba8079-9608-4b9c-bea1-cf112d5db35a  rack1
UN  172.17.0.16  404.28 KB  256          2.5%              960bdfc0-d688-4bb9-b654-b2b198de16f3  rack1
UN  172.17.0.19  448.36 KB  256          2.6%              ae2c5f66-9a7c-4b97-a77e-269f29704780  rack1
UN  172.17.0.18  433.34 KB  256          2.5%              ec7edc06-6853-4ff4-a2ba-4fd03feb2fbe  rack1
UN  172.17.0.21  405.64 KB  256          2.4%              2222a05c-81df-4d85-a544-ca85818ee992  rack1
UN  172.17.0.20  361.21 KB  256          2.3%              e4cdc97f-976a-49a6-99b1-8a44bacdc6c6  rack1
UN  172.17.0.23  396.04 KB  256          2.5%              5cfaabd9-bfb7-4219-8ad4-8f5d8543c8bc  rack1
UN  172.17.0.22  369.11 KB  256          2.7%              da6a9bad-d8b2-44a6-bc1c-670ab9a64d91  rack1
UN  172.17.0.25  411.91 KB  256          2.8%              41443e2b-c467-4944-add7-95424a768a06  rack1
UN  172.17.0.24  368.66 KB  256          2.6%              f9bac7b3-4662-4d47-8923-ead590813677  rack1
UN  172.17.0.27  385.72 KB  256          2.3%              9f3ef3bc-c232-4677-a8c4-b6361c103f92  rack1
UN  172.17.0.26  369.82 KB  256          2.6%              c5b6f028-ea48-41ed-aa3e-f7bb50779405  rack1
UN  172.17.0.29  370.1 KB   256          2.3%              860c2188-9092-4f27-b33b-177bf8d6482f  rack1
UN  172.17.0.28  365.65 KB  256          2.4%              75271047-9cbb-42bf-adc4-8649a58b7965  rack1
UN  172.17.0.31  370.98 KB  256          2.5%              c287cc2e-41dd-4ca5-b4d9-3a3e62fccdd2  rack1
UN  172.17.0.30  370.5 KB   256          2.7%              59fc4521-7137-4840-90c0-b3012ca8e641  rack1
UN  172.17.0.3   420.74 KB  256          2.3%              357d20a4-e409-4d05-be55-34e687f073f4  rack1
UN  172.17.0.2   382.2 KB   256          2.7%              7e47ab1f-241b-4115-b598-a8e425e523bc  rack1
UN  172.17.0.5   449.76 KB  256          2.6%              d9ddf1ea-574b-4b73-804e-9f30f250d870  rack1
UN  172.17.0.4   422.8 KB   256          2.2%              6aeab0ba-c635-43c6-929d-5db2e650207a  rack1
UN  172.17.0.7   418.03 KB  256          2.5%              a6cda5e8-6e86-4182-b5f8-ee977a4fd490  rack1
UN  172.17.0.6   440.99 KB  256          2.5%              bb3f8a9b-0ac8-46eb-8663-d881c4e1b57a  rack1
UN  172.17.0.9   432.64 KB  256          2.8%              c4a99602-e5e6-4ef6-b838-c6aa4d3e044f  rack1
UN  172.17.0.8   455.43 KB  256          2.4%              6810b035-7c4a-4100-ad8b-ef629c37d523  rack1
UN  172.17.0.11  450.52 KB  256          2.7%              15f5b571-0b89-48b3-9d79-29c02af30fbf  rack1
UN  172.17.0.10  420.79 KB  256          2.7%              ebb5c58f-5cc7-48bd-8f6e-e8f781954ece  rack1
UN  172.17.0.13  412.95 KB  256          2.3%              0d00f0c7-5064-48e3-97c0-f1d481ded73d  rack1
UN  172.17.0.12  431.88 KB  256          2.3%              bd06c5e7-edd8-43d5-85ac-606a5325f4a7  rack1
UN  172.17.0.15  462.28 KB  256          2.3%              6cd1e738-2826-42e1-9590-109dcbc3ff03  rack1
UN  172.17.0.14  457.59 KB  256          2.6%              7f4d4fa9-9936-482d-a833-f6a68774bbd9  rack1
UN  172.17.0.33  389.63 KB  256          2.8%              b052f2d7-0739-41ae-9c81-bdfc2c8bacfb  rack1
UN  172.17.0.32  361.26 KB  256          2.5%              cf22471a-4a26-4df0-a4d3-c3a7243accfb  rack1
UN  172.17.0.35  388.65 KB  256          2.2%              3ca1af95-279b-46e7-b1a4-fc276c19e117  rack1
UN  172.17.0.34  407.76 KB  256          2.4%              720d615d-9aef-4465-9a9b-aa3b332b1c7f  rack1
UN  172.17.0.37  385.76 KB  256          2.4%              0c09a416-3029-4f7a-91d2-db344509ade6  rack1
UN  172.17.0.36  373.88 KB  256          2.4%              f6ff71d1-a48b-407f-ba25-4b6e161f5887  rack1
UN  172.17.0.39  408.22 KB  256          2.6%              be5e0bd1-8449-4ee6-816e-9977688b1e47  rack1
UN  172.17.0.38  385.9 KB   256          2.6%              71c90ab1-fa6d-48a6-9ccb-38ff63cad7f1  rack1
UN  172.17.0.41  487 KB     256          2.5%              2f520468-e823-4061-a804-3cbc11a714dd  rack1
UN  172.17.0.40  385.82 KB  256          2.6%              9497589d-1788-47c8-9d91-b153b49fa8cb  rack1

