num 	 Acumtime 	 TimeIns
0 	 0 	 0
1 	 1 	 1
2 	 1 	 0
3 	 1 	 0
4 	 2 	 1
5 	 2 	 0
6 	 3 	 1
7 	 3 	 0
8 	 4 	 1
9 	 4 	 0
10 	 5 	 1
11 	 5 	 0
12 	 6 	 1
13 	 6 	 0
14 	 6 	 0
15 	 7 	 1
16 	 7 	 0
17 	 8 	 1
18 	 8 	 0
19 	 9 	 1
20 	 9 	 0
21 	 10 	 1
22 	 10 	 0
23 	 11 	 1
24 	 11 	 0
25 	 12 	 1
26 	 12 	 0
27 	 13 	 1
28 	 13 	 0
29 	 14 	 1
30 	 14 	 0
31 	 15 	 1
32 	 15 	 0
33 	 16 	 1
34 	 16 	 0
35 	 17 	 1
36 	 17 	 0
37 	 18 	 1
38 	 18 	 0
39 	 19 	 1
40 	 19 	 0
41 	 20 	 1
42 	 20 	 0
43 	 21 	 1
44 	 21 	 0
45 	 22 	 1
46 	 22 	 0
47 	 23 	 1
48 	 23 	 0
49 	 24 	 1
50 	 24 	 0
51 	 25 	 1
52 	 25 	 0
53 	 26 	 1
54 	 26 	 0
55 	 27 	 1
56 	 27 	 0
57 	 28 	 1
58 	 28 	 0
59 	 29 	 1
60 	 29 	 0
61 	 30 	 0
62 	 31 	 1
63 	 31 	 0
64 	 32 	 1
65 	 32 	 0
66 	 33 	 1
67 	 33 	 0
68 	 34 	 1
69 	 34 	 0
70 	 35 	 1
71 	 35 	 0
72 	 36 	 1
73 	 36 	 0
74 	 37 	 1
75 	 37 	 0
76 	 38 	 1
77 	 39 	 1
78 	 39 	 0
79 	 40 	 1
80 	 40 	 0
81 	 41 	 1
82 	 41 	 0
83 	 42 	 1
84 	 42 	 0
85 	 43 	 1
86 	 43 	 0
87 	 44 	 1
88 	 44 	 0
89 	 45 	 1
90 	 46 	 1
91 	 46 	 0
92 	 47 	 1
93 	 47 	 0
94 	 48 	 1
95 	 48 	 0
96 	 49 	 1
97 	 49 	 0
98 	 50 	 1
99 	 50 	 0
TOTAL100 	 56
