Creating cluster of 100 nodes
Percentage Leaving 20%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
4e2fdefc98f8        etcd99              2.68%               59.25MiB / 373.8GiB   0.02%               0B / 0B             0B / 508kB          55
7cc7cfcc2216        etcd98              1.98%               64.48MiB / 373.8GiB   0.02%               0B / 0B             0B / 545kB          52
56c527f60f67        etcd97              4.93%               65.59MiB / 373.8GiB   0.02%               0B / 0B             0B / 561kB          54
86e650f27fc6        etcd96              3.09%               61.32MiB / 373.8GiB   0.02%               0B / 0B             0B / 565kB          52
e0b85c64614c        etcd95              1.29%               66.08MiB / 373.8GiB   0.02%               0B / 0B             0B / 569kB          52
1d77176b818e        etcd94              3.13%               66.29MiB / 373.8GiB   0.02%               0B / 0B             0B / 578kB          52
a6203c372427        etcd93              2.99%               68.77MiB / 373.8GiB   0.02%               0B / 0B             0B / 594kB          54
965259c5c220        etcd92              1.30%               68.34MiB / 373.8GiB   0.02%               0B / 0B             0B / 664kB          53
2b2edc7ffc09        etcd91              5.07%               69.87MiB / 373.8GiB   0.02%               0B / 0B             0B / 610kB          53
58de2513d7a2        etcd90              5.14%               72.11MiB / 373.8GiB   0.02%               0B / 0B             0B / 610kB          53
5b37a5e43174        etcd89              2.00%               66.82MiB / 373.8GiB   0.02%               0B / 0B             0B / 627kB          54
71a60cb9dbe6        etcd88              2.92%               69.51MiB / 373.8GiB   0.02%               0B / 0B             0B / 631kB          53
bd624249341a        etcd87              2.29%               72.98MiB / 373.8GiB   0.02%               0B / 0B             0B / 643kB          55
08281e433510        etcd86              1.49%               76.13MiB / 373.8GiB   0.02%               0B / 0B             0B / 651kB          52
af33ee89424e        etcd85              3.07%               80.66MiB / 373.8GiB   0.02%               0B / 0B             0B / 664kB          53
33a6d55d35e4        etcd84              4.59%               76.2MiB / 373.8GiB    0.02%               0B / 0B             0B / 672kB          53
1b33c3224d31        etcd83              3.92%               80.3MiB / 373.8GiB    0.02%               0B / 0B             0B / 680kB          53
30768fbdf709        etcd82              3.86%               83.84MiB / 373.8GiB   0.02%               0B / 0B             0B / 688kB          51
faa2663daa40        etcd81              3.44%               81.44MiB / 373.8GiB   0.02%               0B / 0B             0B / 688kB          53
3690d31f7f2e        etcd80              1.31%               84.64MiB / 373.8GiB   0.02%               0B / 0B             0B / 705kB          54
ca0f5b38f6ee        etcd79              2.74%               84.06MiB / 373.8GiB   0.02%               0B / 0B             0B / 709kB          53
5bf3cd646d1a        etcd78              2.69%               90.5MiB / 373.8GiB    0.02%               0B / 0B             0B / 713kB          52
47a081675a16        etcd77              1.47%               103.8MiB / 373.8GiB   0.03%               0B / 0B             0B / 729kB          52
3da8c1935a4a        etcd76              4.67%               92.59MiB / 373.8GiB   0.02%               0B / 0B             0B / 733kB          53
5adcd0d722e7        etcd75              5.01%               101MiB / 373.8GiB     0.03%               0B / 0B             0B / 741kB          53
0dd41c4087d0        etcd74              1.55%               99.25MiB / 373.8GiB   0.03%               0B / 0B             0B / 750kB          52
5d1580a191a1        etcd73              3.01%               110.4MiB / 373.8GiB   0.03%               0B / 0B             0B / 758kB          53
0e4559a70922        etcd72              3.13%               104.5MiB / 373.8GiB   0.03%               0B / 0B             0B / 770kB          51
2970ac75c90a        etcd71              1.71%               109.3MiB / 373.8GiB   0.03%               0B / 0B             0B / 778kB          52
c5937e53f6e8        etcd70              2.86%               99.75MiB / 373.8GiB   0.03%               0B / 0B             0B / 791kB          53
977fe5f61836        etcd69              3.55%               113.1MiB / 373.8GiB   0.03%               0B / 0B             0B / 795kB          54
955fdc83f078        etcd68              3.49%               110.7MiB / 373.8GiB   0.03%               0B / 0B             0B / 799kB          53
257e74eb2e23        etcd67              4.18%               112.8MiB / 373.8GiB   0.03%               0B / 0B             0B / 815kB          53
e857a61b0b93        etcd66              3.64%               114.6MiB / 373.8GiB   0.03%               0B / 0B             0B / 823kB          53
452475302b04        etcd65              2.44%               115.4MiB / 373.8GiB   0.03%               0B / 0B             0B / 831kB          53
2cc001502cc8        etcd64              1.74%               122.8MiB / 373.8GiB   0.03%               0B / 0B             0B / 836kB          54
62f1bfc27ab0        etcd63              3.06%               121MiB / 373.8GiB     0.03%               0B / 0B             0B / 848kB          54
f0a81910f259        etcd62              2.29%               128.4MiB / 373.8GiB   0.03%               0B / 0B             0B / 852kB          53
1df4672d44f5        etcd61              3.41%               134.4MiB / 373.8GiB   0.04%               0B / 0B             0B / 856kB          53
c8084aa9811a        etcd60              4.61%               150.1MiB / 373.8GiB   0.04%               0B / 0B             0B / 872kB          53
74a4fc30e56f        etcd59              2.46%               129.1MiB / 373.8GiB   0.03%               0B / 0B             0B / 926kB          54
fb60f9f7e6a8        etcd58              1.78%               146.5MiB / 373.8GiB   0.04%               0B / 0B             0B / 893kB          46
536c9ba2842e        etcd57              3.25%               145.2MiB / 373.8GiB   0.04%               0B / 0B             0B / 901kB          54
3ae3517db0b0        etcd56              3.70%               149.2MiB / 373.8GiB   0.04%               0B / 0B             0B / 905kB          46
97e3018d2c05        etcd55              1.84%               160MiB / 373.8GiB     0.04%               0B / 0B             0B / 913kB          52
6f0c4654b6ff        etcd54              3.17%               162.5MiB / 373.8GiB   0.04%               0B / 0B             0B / 922kB          53
304b2d3201f4        etcd53              4.77%               165.1MiB / 373.8GiB   0.04%               0B / 0B             0B / 934kB          54
94449a6b5a0a        etcd52              3.18%               169MiB / 373.8GiB     0.04%               0B / 0B             0B / 938kB          52
c64247d912d4        etcd51              3.19%               174.4MiB / 373.8GiB   0.05%               0B / 0B             0B / 991kB          49
4c2c12b0d04b        etcd50              3.47%               133.8MiB / 373.8GiB   0.03%               0B / 0B             0B / 971kB          53
3cd5bb44ef73        etcd49              1.55%               180MiB / 373.8GiB     0.05%               0B / 0B             0B / 975kB          50
d8106a58f6f2        etcd48              3.02%               183.8MiB / 373.8GiB   0.05%               0B / 0B             0B / 975kB          45
ee1157ed2e15        etcd47              3.12%               155.3MiB / 373.8GiB   0.04%               0B / 0B             0B / 983kB          53
98f632704e96        etcd46              3.45%               187.4MiB / 373.8GiB   0.05%               0B / 0B             0B / 983kB          54
de6ba77af991        etcd45              4.52%               193.9MiB / 373.8GiB   0.05%               0B / 0B             0B / 979kB          53
18674aed0115        etcd44              2.85%               215.7MiB / 373.8GiB   0.06%               0B / 0B             0B / 987kB          53
052c8462bb3f        etcd43              2.64%               181.5MiB / 373.8GiB   0.05%               0B / 0B             0B / 991kB          54
82f6b2bbea3d        etcd42              1.62%               194.5MiB / 373.8GiB   0.05%               0B / 0B             0B / 987kB          53
ece7bb06a30a        etcd41              21.94%              375.8MiB / 373.8GiB   0.10%               0B / 0B             0B / 991kB          69
095da1330895        etcd40              3.52%               131MiB / 373.8GiB     0.03%               0B / 0B             0B / 995kB          54
ae5a85066fbf        etcd39              1.16%               220.2MiB / 373.8GiB   0.06%               0B / 0B             0B / 991kB          54
82dd7e188e08        etcd38              5.12%               214.9MiB / 373.8GiB   0.06%               0B / 0B             0B / 999kB          54
54db72da8bda        etcd37              4.84%               219.7MiB / 373.8GiB   0.06%               0B / 0B             0B / 999kB          53
7840add2dada        etcd36              1.39%               218.5MiB / 373.8GiB   0.06%               0B / 0B             0B / 1MB            56
f7302cfbaa28        etcd35              3.17%               240.9MiB / 373.8GiB   0.06%               0B / 0B             0B / 1.01MB         55
78d7e48fb327        etcd34              2.78%               245MiB / 373.8GiB     0.06%               0B / 0B             0B / 1MB            52
230489a3f0da        etcd33              1.28%               250.9MiB / 373.8GiB   0.07%               0B / 0B             0B / 1MB            54
d84a48736143        etcd32              1.62%               233.6MiB / 373.8GiB   0.06%               0B / 0B             0B / 1MB            55
08d292a095c7        etcd31              3.06%               259.4MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.01MB         55
759f875f55cb        etcd30              4.51%               254.3MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.01MB         55
1a76d1739e84        etcd29              3.51%               248.5MiB / 373.8GiB   0.06%               0B / 0B             0B / 1.02MB         54
f8cf8baf9762        etcd28              2.81%               274.8MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.02MB         53
7b91cf5b89b7        etcd27              3.08%               263.8MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.02MB         54
5abbffd1032e        etcd26              1.46%               294.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.02MB         53
ec1d29667b0d        etcd25              3.20%               258.3MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.02MB         53
ef85101a1788        etcd24              3.16%               305.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         52
37b9053fc3ad        etcd23              2.38%               292.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         54
7790435d4e8f        etcd22              3.53%               295.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         56
074f83a2cd4c        etcd21              4.78%               294.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         53
18ce802c4fa4        etcd20              3.03%               302.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         53
31b5437c4159        etcd19              1.85%               311.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         52
b6be2d58ff47        etcd18              2.83%               307.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         53
07d3a13d66cf        etcd17              3.10%               306.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         53
367fdc9e9d1d        etcd16              1.68%               306.5MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         52
e67f0e665f67        etcd15              1.29%               310MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.04MB         53
3c2d0d12df9f        etcd14              5.13%               315MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.04MB         53
898fe8c048da        etcd13              4.93%               290MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.05MB         56
d90effb9f8d2        etcd12              3.56%               294.6MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         56
08a5fa5a221f        etcd11              3.01%               318.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         53
7c328b309ec4        etcd10              2.83%               297.9MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         55
0767b849bddb        etcd9               3.10%               304.7MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         54
25e2fe881c34        etcd8               1.57%               307.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         53
50aa6af08adc        etcd7               3.13%               317.2MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         53
9a5838ea1295        etcd6               3.18%               316MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.06MB         53
76c1c026882e        etcd5               3.59%               307.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         54
d96836b3a03f        etcd4               3.46%               307.9MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         54
a92d535971d1        etcd3               4.08%               316.6MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         53
c950e5faa484        etcd2               3.01%               304.7MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         54
9ec6dade198e        etcd1               1.71%               313MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.06MB         54
6240aee839e7        etcd0               1.46%               309.6MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         54
Percentage Leaving 40%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
ce8796e66933        etcd99              3.30%               59.23MiB / 373.8GiB   0.02%               0B / 0B             0B / 520kB          54
2e5dbac0151e        etcd98              1.94%               59.45MiB / 373.8GiB   0.02%               0B / 0B             0B / 549kB          53
d99eb9f790d3        etcd97              3.56%               65.27MiB / 373.8GiB   0.02%               0B / 0B             0B / 549kB          57
87cae3a5567e        etcd96              5.43%               64.64MiB / 373.8GiB   0.02%               0B / 0B             0B / 561kB          53
455d681c9cc2        etcd95              2.54%               59.7MiB / 373.8GiB    0.02%               0B / 0B             0B / 573kB          53
5e7f139b785c        etcd94              2.56%               77.84MiB / 373.8GiB   0.02%               0B / 0B             0B / 582kB          53
36906762ca1b        etcd93              3.74%               68.77MiB / 373.8GiB   0.02%               0B / 0B             0B / 594kB          53
eb4e884ce968        etcd92              2.76%               61.66MiB / 373.8GiB   0.02%               0B / 0B             0B / 598kB          55
8d4ae726ae63        etcd91              1.49%               66.64MiB / 373.8GiB   0.02%               0B / 0B             0B / 606kB          53
12f9db503792        etcd90              4.90%               72.42MiB / 373.8GiB   0.02%               0B / 0B             0B / 614kB          53
9ddc09ce4d4d        etcd89              4.83%               66.8MiB / 373.8GiB    0.02%               0B / 0B             0B / 623kB          53
b41fd75203c9        etcd88              1.74%               70.92MiB / 373.8GiB   0.02%               0B / 0B             0B / 635kB          53
8a65f4b1e12e        etcd87              3.02%               71.36MiB / 373.8GiB   0.02%               0B / 0B             0B / 643kB          49
be06427e0ec5        etcd86              2.96%               74.92MiB / 373.8GiB   0.02%               0B / 0B             0B / 643kB          52
cee41d481f15        etcd85              1.90%               71.58MiB / 373.8GiB   0.02%               0B / 0B             0B / 651kB          55
07dd77302945        etcd84              3.64%               78.94MiB / 373.8GiB   0.02%               0B / 0B             0B / 668kB          54
8693c677f223        etcd83              3.73%               74.32MiB / 373.8GiB   0.02%               0B / 0B             0B / 676kB          52
ac252b8f9b47        etcd82              4.15%               84.4MiB / 373.8GiB    0.02%               0B / 0B             0B / 684kB          52
d6804df3e21a        etcd81              5.28%               82.52MiB / 373.8GiB   0.02%               0B / 0B             0B / 688kB          53
552919b1deda        etcd80              2.95%               87.63MiB / 373.8GiB   0.02%               0B / 0B             0B / 700kB          53
b6387cdc9f6e        etcd79              1.73%               87.27MiB / 373.8GiB   0.02%               0B / 0B             0B / 713kB          53
944b39d0a6e6        etcd78              2.74%               85.22MiB / 373.8GiB   0.02%               0B / 0B             0B / 713kB          53
1a25ff4b73ef        etcd77              3.21%               85.89MiB / 373.8GiB   0.02%               0B / 0B             0B / 741kB          53
6d9e2afcc505        etcd76              1.99%               94.8MiB / 373.8GiB    0.02%               0B / 0B             0B / 733kB          53
469584d891e8        etcd75              5.16%               89.1MiB / 373.8GiB    0.02%               0B / 0B             0B / 745kB          53
29b6e5f2865c        etcd74              5.35%               92.29MiB / 373.8GiB   0.02%               0B / 0B             0B / 745kB          53
1a443b22c046        etcd73              1.79%               97.8MiB / 373.8GiB    0.03%               0B / 0B             0B / 758kB          55
1bb7f51e27f8        etcd72              3.25%               101.4MiB / 373.8GiB   0.03%               0B / 0B             0B / 770kB          53
52670a89aa56        etcd71              3.10%               105MiB / 373.8GiB     0.03%               0B / 0B             0B / 778kB          54
5881af0d718e        etcd70              1.46%               110MiB / 373.8GiB     0.03%               0B / 0B             0B / 786kB          52
5fdb056a3d58        etcd69              3.02%               107.2MiB / 373.8GiB   0.03%               0B / 0B             0B / 791kB          55
ed9a0ea516f9        etcd68              5.03%               105.1MiB / 373.8GiB   0.03%               0B / 0B             0B / 803kB          52
7946ca3b67d4        etcd67              3.62%               104.8MiB / 373.8GiB   0.03%               0B / 0B             0B / 815kB          54
69fe546f039b        etcd66              4.68%               120.1MiB / 373.8GiB   0.03%               0B / 0B             0B / 823kB          53
439f8d18f71d        etcd65              2.99%               119MiB / 373.8GiB     0.03%               0B / 0B             0B / 827kB          53
2ffc2f33e9fa        etcd64              2.40%               117.5MiB / 373.8GiB   0.03%               0B / 0B             0B / 836kB          53
ba6436ceaff0        etcd63              1.56%               122.5MiB / 373.8GiB   0.03%               0B / 0B             0B / 848kB          52
5bdce3f6de60        etcd62              3.54%               115MiB / 373.8GiB     0.03%               0B / 0B             0B / 881kB          55
67190c1229ab        etcd61              2.66%               124.5MiB / 373.8GiB   0.03%               0B / 0B             0B / 860kB          54
c17097f50feb        etcd60              3.52%               135.1MiB / 373.8GiB   0.04%               0B / 0B             0B / 872kB          51
a3c74cade6e5        etcd59              4.93%               138.7MiB / 373.8GiB   0.04%               0B / 0B             0B / 930kB          54
ea39ba53a1c1        etcd58              2.08%               134.5MiB / 373.8GiB   0.04%               0B / 0B             0B / 889kB          53
0618285cc350        etcd57              1.71%               152.5MiB / 373.8GiB   0.04%               0B / 0B             0B / 897kB          52
122d27b60a63        etcd56              4.04%               147.8MiB / 373.8GiB   0.04%               0B / 0B             0B / 905kB          54
6f16e7221c97        etcd55              3.89%               138.3MiB / 373.8GiB   0.04%               0B / 0B             0B / 918kB          52
45f3c3e3a489        etcd54              1.41%               164.8MiB / 373.8GiB   0.04%               0B / 0B             0B / 922kB          53
1250a8e57011        etcd53              5.36%               163.6MiB / 373.8GiB   0.04%               0B / 0B             0B / 934kB          51
7516ca34e47d        etcd52              5.30%               166.9MiB / 373.8GiB   0.04%               0B / 0B             0B / 942kB          53
b6eb2b3cb01e        etcd51              3.93%               173.1MiB / 373.8GiB   0.05%               0B / 0B             0B / 967kB          53
438a98d2f66d        etcd50              3.11%               174.5MiB / 373.8GiB   0.05%               0B / 0B             0B / 967kB          46
ddbc70a89ae4        etcd49              3.19%               184.3MiB / 373.8GiB   0.05%               0B / 0B             0B / 975kB          53
e1482fac2741        etcd48              1.45%               172.6MiB / 373.8GiB   0.05%               0B / 0B             0B / 975kB          53
a0553a159fb9        etcd47              2.50%               170.5MiB / 373.8GiB   0.04%               0B / 0B             0B / 971kB          53
d1618f7a24c2        etcd46              3.20%               185.2MiB / 373.8GiB   0.05%               0B / 0B             0B / 1.03MB         54
52a1ce40e377        etcd45              4.04%               193.4MiB / 373.8GiB   0.05%               0B / 0B             0B / 979kB          54
aa7715193668        etcd44              3.58%               190.7MiB / 373.8GiB   0.05%               0B / 0B             0B / 975kB          54
4a401b9e6223        etcd43              2.78%               190.5MiB / 373.8GiB   0.05%               0B / 0B             0B / 983kB          55
6669e21476f1        etcd42              2.97%               199.8MiB / 373.8GiB   0.05%               0B / 0B             0B / 987kB          55
837d816513b9        etcd41              1.48%               204.8MiB / 373.8GiB   0.05%               0B / 0B             0B / 991kB          55
d4d73781c6d2        etcd40              2.68%               205MiB / 373.8GiB     0.05%               0B / 0B             0B / 987kB          54
396bd35107d9        etcd39              3.10%               144.6MiB / 373.8GiB   0.04%               0B / 0B             0B / 991kB          54
b4db02ff7e95        etcd38              2.12%               212.3MiB / 373.8GiB   0.06%               0B / 0B             0B / 995kB          55
6d0b5ee8f664        etcd37              5.07%               231.1MiB / 373.8GiB   0.06%               0B / 0B             0B / 995kB          54
21448a6c312c        etcd36              5.32%               234.1MiB / 373.8GiB   0.06%               0B / 0B             0B / 991kB          53
0fbaea49761d        etcd35              2.26%               236.2MiB / 373.8GiB   0.06%               0B / 0B             0B / 999kB          53
c66f055221d6        etcd34              1.43%               211.4MiB / 373.8GiB   0.06%               0B / 0B             0B / 999kB          54
606d106c20e4        etcd33              3.00%               237.2MiB / 373.8GiB   0.06%               0B / 0B             0B / 999kB          54
9cd15bff6550        etcd32              2.71%               249MiB / 373.8GiB     0.07%               0B / 0B             0B / 1.01MB         55
1c54d3b63525        etcd31              1.83%               253.3MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.01MB         55
fd34290e61e5        etcd30              3.14%               260MiB / 373.8GiB     0.07%               0B / 0B             0B / 1.01MB         54
6bfbba42f687        etcd29              5.11%               252.6MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.02MB         54
6e358b754c69        etcd28              3.82%               373.6MiB / 373.8GiB   0.10%               0B / 0B             0B / 1.02MB         54
940e3dae0ae8        etcd27              3.56%               265.5MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.01MB         54
50ab5c82ccd5        etcd26              3.79%               284MiB / 373.8GiB     0.07%               0B / 0B             0B / 1.02MB         54
3e1d7420811a        etcd25              2.83%               280.8MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.02MB         53
392c516fc098        etcd24              1.89%               278.2MiB / 373.8GiB   0.07%               0B / 0B             0B / 1.02MB         54
bdae4c520d2b        etcd23              3.13%               310.5MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.02MB         54
277333bdfa26        etcd22              3.15%               303.7MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         53
aa036b7313d1        etcd21              3.14%               312.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         51
3d9b84d0261a        etcd20              4.81%               292.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.02MB         52
bff1d5975efb        etcd19              4.44%               307.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         53
d2619d3cab0e        etcd18              1.55%               299.6MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.03MB         53
d29fa87c7981        etcd17              1.65%               302.3MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         53
a44b308b9794        etcd16              3.59%               313MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.03MB         53
53016da6e402        etcd15              2.91%               300.7MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         54
f2afd605b303        etcd14              1.77%               309.5MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         54
ced6f13b7e48        etcd13              3.39%               314.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         53
0318d1a5e367        etcd12              5.37%               307.6MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         54
b0afca3fc7c8        etcd11              26.13%              348.1MiB / 373.8GiB   0.09%               0B / 0B             0B / 1.04MB         67
def65f862772        etcd10              1.68%               306.1MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         54
c1a701c410d1        etcd9               2.93%               307.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.04MB         54
188b5303ef9f        etcd8               2.94%               319.7MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         53
33a8aa3dd7ef        etcd7               2.10%               319.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         54
46facfde3c9d        etcd6               2.09%               315.9MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         54
a4cc7250de8a        etcd5               3.40%               312MiB / 373.8GiB     0.08%               0B / 0B             0B / 1.06MB         53
d4d2ecc2d3ea        etcd4               3.17%               309.6MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.05MB         54
c9e290ad5961        etcd3               3.47%               305.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         54
68e959bdb05b        etcd2               3.43%               314.4MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         54
9eb9b546d63c        etcd1               4.41%               311.8MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         54
e99fddde5fef        etcd0               2.89%               305.9MiB / 373.8GiB   0.08%               0B / 0B             0B / 1.06MB         53
Percentage Leaving 60%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
02504c4ff0b2        etcd99              2.61%               63.89MiB / 373.8GiB   0.02%               0B / 0B             0B / 512kB          53
a86c32efe6df        etcd98              2.33%               64.26MiB / 373.8GiB   0.02%               0B / 0B             0B / 545kB          57
c26b760ed620        etcd97              3.23%               59.16MiB / 373.8GiB   0.02%               0B / 0B             0B / 618kB          54
5c8302de6590        etcd96              5.30%               65.2MiB / 373.8GiB    0.02%               0B / 0B             0B / 561kB          56
c4a385ac1352        etcd95              1.86%               61.07MiB / 373.8GiB   0.02%               0B / 0B             0B / 573kB          53
8d8680058947        etcd94              3.25%               68.11MiB / 373.8GiB   0.02%               0B / 0B             0B / 582kB          53
1287b6f7fc5c        etcd93              3.31%               67.19MiB / 373.8GiB   0.02%               0B / 0B             0B / 586kB          51
3c9d3a02c9f9        etcd92              1.15%               68.2MiB / 373.8GiB    0.02%               0B / 0B             0B / 594kB          53
34914cff3f9c        etcd91              2.85%               70.54MiB / 373.8GiB   0.02%               0B / 0B             0B / 602kB          52
