num 	 Acumtime 	 TimeIns
0 	 0 	 0
1 	 1 	 1
2 	 1 	 0
3 	 1 	 0
4 	 2 	 1
5 	 2 	 0
6 	 3 	 1
7 	 3 	 0
8 	 4 	 1
9 	 4 	 0
10 	 5 	 1
11 	 5 	 0
12 	 5 	 0
13 	 6 	 1
14 	 6 	 0
15 	 7 	 1
16 	 7 	 0
17 	 8 	 1
18 	 8 	 0
19 	 9 	 1
20 	 9 	 0
21 	 10 	 1
22 	 10 	 0
23 	 11 	 1
24 	 11 	 0
25 	 12 	 1
26 	 12 	 0
27 	 13 	 1
28 	 13 	 0
29 	 14 	 1
30 	 14 	 0
31 	 14 	 0
32 	 15 	 1
33 	 15 	 0
34 	 16 	 1
35 	 16 	 0
36 	 17 	 1
37 	 17 	 0
38 	 18 	 1
39 	 18 	 0
40 	 19 	 1
41 	 19 	 0
42 	 20 	 1
43 	 20 	 0
44 	 21 	 1
45 	 21 	 0
46 	 22 	 1
47 	 22 	 0
48 	 23 	 1
49 	 23 	 0
50 	 24 	 1
51 	 24 	 0
52 	 25 	 1
53 	 25 	 0
54 	 26 	 1
55 	 26 	 0
56 	 27 	 1
57 	 27 	 0
58 	 28 	 1
59 	 28 	 0
60 	 29 	 1
61 	 30 	 1
62 	 30 	 0
63 	 31 	 1
64 	 31 	 0
65 	 32 	 1
66 	 32 	 0
67 	 33 	 1
68 	 33 	 0
69 	 34 	 1
70 	 34 	 0
71 	 35 	 1
72 	 35 	 0
73 	 36 	 1
74 	 36 	 0
75 	 37 	 1
76 	 37 	 0
77 	 38 	 1
78 	 38 	 0
79 	 39 	 1
80 	 39 	 0
81 	 40 	 1
82 	 41 	 1
83 	 41 	 0
84 	 42 	 1
85 	 42 	 0
86 	 43 	 1
87 	 44 	 1
88 	 44 	 0
89 	 45 	 1
90 	 45 	 0
91 	 46 	 1
92 	 46 	 0
93 	 47 	 1
94 	 48 	 1
95 	 48 	 0
96 	 49 	 1
97 	 49 	 0
98 	 50 	 1
99 	 50 	 0
TOTAL100 	 56
