num 	 Acumtime 	 TimeIns
0 	 0.351 	 0.341
1 	 0.701 	 0.343
2 	 1.038 	 0.331
3 	 1.414 	 0.369
4 	 1.799 	 0.378
5 	 2.128 	 0.323
6 	 2.502 	 0.366
7 	 2.901 	 0.392
8 	 3.288 	 0.381
9 	 3.786 	 0.491
TOTAL10 	 4.493
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
307c15d2d780        etcd9               0.58%               8.016MiB / 62.13GiB   0.01%               0B / 0B             0B / 73.7kB         14
02156a522214        etcd8               0.58%               7.879MiB / 62.13GiB   0.01%               0B / 0B             0B / 81.9kB         13
051e426bf256        etcd7               0.45%               8.219MiB / 62.13GiB   0.01%               0B / 0B             0B / 102kB          14
149c2be6adba        etcd6               0.46%               8.352MiB / 62.13GiB   0.01%               0B / 0B             0B / 111kB          13
1679a3f161fb        etcd5               0.56%               9.137MiB / 62.13GiB   0.01%               0B / 0B             0B / 111kB          13
b628a3bcbc25        etcd4               0.54%               9.266MiB / 62.13GiB   0.01%               0B / 0B             0B / 111kB          14
939cadf9df15        etcd3               1.50%               10.13MiB / 62.13GiB   0.02%               0B / 0B             0B / 115kB          13
ef37216d0d36        etcd2               1.21%               10.42MiB / 62.13GiB   0.02%               0B / 0B             0B / 115kB          13
02743967e98c        etcd1               1.14%               12.7MiB / 62.13GiB    0.02%               0B / 0B             0B / 115kB          13
7ff35e3d6d64        etcd0               1.49%               16.38MiB / 62.13GiB   0.03%               0B / 0B             0B / 111kB          14
