num 	 Acumtime 	 TimeIns
0 	 0.351 	 0.333
1 	 0.696 	 0.338
2 	 1.079 	 0.377
3 	 1.425 	 0.339
4 	 1.832 	 0.4
5 	 2.24 	 0.401
6 	 2.647 	 0.4
7 	 3.04 	 0.385
8 	 3.412 	 0.365
9 	 3.807 	 0.388
10 	 4.209 	 0.395
11 	 4.631 	 0.414
12 	 5.053 	 0.415
13 	 5.437 	 0.377
14 	 5.824 	 0.38
15 	 6.211 	 0.38
16 	 6.632 	 0.414
17 	 7.016 	 0.377
18 	 7.425 	 0.402
19 	 7.909 	 0.477
TOTAL20 	 8.733
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
aa858ef63b95        etcd19              0.86%               12.45MiB / 62.13GiB   0.02%               0B / 0B             0B / 115kB          13
6c2dd2508441        etcd18              0.55%               12.31MiB / 62.13GiB   0.02%               0B / 0B             0B / 139kB          14
191f5e9b945b        etcd17              0.88%               12.25MiB / 62.13GiB   0.02%               0B / 0B             0B / 147kB          13
37c739b20fa9        etcd16              0.87%               12.38MiB / 62.13GiB   0.02%               0B / 0B             0B / 152kB          13
f53d60e7c4f6        etcd15              2.80%               14.01MiB / 62.13GiB   0.02%               0B / 0B             0B / 160kB          13
314bfd609095        etcd14              2.52%               14.32MiB / 62.13GiB   0.02%               0B / 0B             0B / 168kB          13
778407d4bb05        etcd13              0.98%               14.27MiB / 62.13GiB   0.02%               0B / 0B             0B / 176kB          13
d0fd570f05bc        etcd12              0.95%               18.8MiB / 62.13GiB    0.03%               0B / 0B             0B / 184kB          14
a4655f86813c        etcd11              0.99%               16.83MiB / 62.13GiB   0.03%               0B / 0B             0B / 193kB          14
310ce9c881eb        etcd10              0.57%               18.35MiB / 62.13GiB   0.03%               0B / 0B             0B / 209kB          13
40889be5c3af        etcd9               0.86%               19.72MiB / 62.13GiB   0.03%               0B / 0B             0B / 217kB          13
a216e1aedf65        etcd8               0.81%               52.41MiB / 62.13GiB   0.08%               0B / 0B             0B / 217kB          14
4d6e9bb3a193        etcd7               0.87%               19.58MiB / 62.13GiB   0.03%               0B / 0B             0B / 217kB          13
f90bfcdb4510        etcd6               0.58%               24.36MiB / 62.13GiB   0.04%               0B / 0B             0B / 217kB          14
a5b6fcff1ea9        etcd5               1.19%               22MiB / 62.13GiB      0.03%               0B / 0B             0B / 221kB          14
c7bb7c4137a1        etcd4               1.73%               25.14MiB / 62.13GiB   0.04%               0B / 0B             0B / 221kB          13
0d69fc43dc6d        etcd3               0.84%               26.79MiB / 62.13GiB   0.04%               0B / 0B             0B / 217kB          13
35bd3d87aa57        etcd2               0.54%               22.25MiB / 62.13GiB   0.03%               0B / 0B             0B / 221kB          15
8db17063e28d        etcd1               2.27%               30.3MiB / 62.13GiB    0.05%               0B / 0B             0B / 221kB          16
7b1aacb1dac6        etcd0               0.93%               30.76MiB / 62.13GiB   0.05%               0B / 0B             0B / 221kB          13
