num 	 Acumtime 	 TimeIns
0 	 0.348 	 0.321
1 	 0.729 	 0.374
2 	 1.133 	 0.397
3 	 1.507 	 0.367
4 	 1.913 	 0.399
5 	 2.306 	 0.386
6 	 2.668 	 0.354
7 	 3.097 	 0.421
8 	 3.519 	 0.414
9 	 3.951 	 0.425
10 	 4.353 	 0.394
11 	 4.732 	 0.372
12 	 5.183 	 0.444
13 	 5.613 	 0.422
14 	 5.997 	 0.377
15 	 6.452 	 0.447
16 	 6.857 	 0.397
17 	 7.301 	 0.436
18 	 7.733 	 0.425
19 	 8.156 	 0.415
20 	 8.617 	 0.453
21 	 9.031 	 0.406
22 	 9.472 	 0.433
23 	 9.885 	 0.405
24 	 10.316 	 0.423
25 	 10.75 	 0.426
26 	 11.164 	 0.406
27 	 11.565 	 0.393
28 	 11.987 	 0.414
29 	 12.416 	 0.421
TOTAL30 	 13.457
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
78685ef7ccf1        etcd29              1.06%               16.49MiB / 62.13GiB   0.03%               0B / 0B             0B / 156kB          18
91337e0abb6d        etcd28              0.75%               16.81MiB / 62.13GiB   0.03%               0B / 0B             0B / 188kB          18
b737d5cc2f6f        etcd27              1.15%               16.96MiB / 62.13GiB   0.03%               0B / 0B             0B / 188kB          13
3c13343c16c1        etcd26              1.04%               17.39MiB / 62.13GiB   0.03%               0B / 0B             0B / 193kB          16
e2516cf6830b        etcd25              3.79%               19.67MiB / 62.13GiB   0.03%               0B / 0B             0B / 205kB          19
b3ef04520288        etcd24              3.55%               19.98MiB / 62.13GiB   0.03%               0B / 0B             0B / 213kB          16
0831b5baff02        etcd23              1.29%               20.91MiB / 62.13GiB   0.03%               0B / 0B             0B / 225kB          15
eb797c60d9c8        etcd22              1.34%               21.62MiB / 62.13GiB   0.03%               0B / 0B             0B / 229kB          14
5f9b83a9c175        etcd21              1.26%               23.49MiB / 62.13GiB   0.04%               0B / 0B             0B / 238kB          13
12ab4859e255        etcd20              0.62%               23.75MiB / 62.13GiB   0.04%               0B / 0B             0B / 242kB          17
c5912d1a5e1e        etcd19              1.12%               25.39MiB / 62.13GiB   0.04%               0B / 0B             0B / 246kB          14
26d89cb9e880        etcd18              1.08%               25.98MiB / 62.13GiB   0.04%               0B / 0B             0B / 258kB          13
88070a333334        etcd17              1.12%               29.07MiB / 62.13GiB   0.05%               0B / 0B             0B / 266kB          15
ceba8ca26ea2        etcd16              1.50%               29.97MiB / 62.13GiB   0.05%               0B / 0B             0B / 270kB          15
d93958ece219        etcd15              2.08%               30.05MiB / 62.13GiB   0.05%               0B / 0B             0B / 295kB          14
03185d379e38        etcd14              2.24%               29.81MiB / 62.13GiB   0.05%               0B / 0B             0B / 303kB          13
7b293e8d3b33        etcd13              0.91%               33.9MiB / 62.13GiB    0.05%               0B / 0B             0B / 307kB          13
2a54db582687        etcd12              4.15%               45.69MiB / 62.13GiB   0.07%               0B / 0B             0B / 303kB          16
75704411f177        etcd11              1.23%               34.66MiB / 62.13GiB   0.05%               0B / 0B             0B / 303kB          15
d8c39c33b4a9        etcd10              1.16%               38.44MiB / 62.13GiB   0.06%               0B / 0B             0B / 303kB          13
cef385e426a6        etcd9               0.96%               37.41MiB / 62.13GiB   0.06%               0B / 0B             0B / 303kB          13
05449e5edb68        etcd8               0.73%               42.82MiB / 62.13GiB   0.07%               0B / 0B             0B / 307kB          14
257698b13797        etcd7               1.21%               46.06MiB / 62.13GiB   0.07%               0B / 0B             0B / 307kB          13
8e6a5a33e105        etcd6               2.12%               46.09MiB / 62.13GiB   0.07%               0B / 0B             0B / 311kB          13
fd633404592c        etcd5               2.15%               44.28MiB / 62.13GiB   0.07%               0B / 0B             0B / 311kB          13
9f570d3ddf74        etcd4               0.64%               38.2MiB / 62.13GiB    0.06%               0B / 0B             0B / 315kB          14
8a2f42ede062        etcd3               1.06%               45.09MiB / 62.13GiB   0.07%               0B / 0B             0B / 315kB          13
f4f2e3141223        etcd2               1.08%               34.16MiB / 62.13GiB   0.05%               0B / 0B             0B / 324kB          14
6e0f635c619d        etcd1               1.13%               40.08MiB / 62.13GiB   0.06%               0B / 0B             0B / 315kB          14
b3442f4531a1        etcd0               0.69%               55.64MiB / 62.13GiB   0.09%               0B / 0B             0B / 315kB          14
