num 	 Acumtime 	 TimeIns
0 	 0.338 	 0.302
1 	 0.762 	 0.416
2 	 1.129 	 0.36
3 	 1.552 	 0.416
4 	 1.96 	 0.4
5 	 2.364 	 0.397
6 	 2.75 	 0.378
7 	 3.135 	 0.378
8 	 3.539 	 0.397
9 	 3.962 	 0.416
10 	 4.425 	 0.456
11 	 4.864 	 0.431
12 	 5.285 	 0.413
13 	 5.694 	 0.401
14 	 6.137 	 0.435
15 	 6.566 	 0.42
16 	 6.998 	 0.424
17 	 7.457 	 0.451
18 	 7.913 	 0.447
19 	 8.368 	 0.446
20 	 8.835 	 0.459
21 	 9.279 	 0.436
22 	 9.686 	 0.399
23 	 10.17 	 0.476
24 	 10.601 	 0.422
25 	 11.048 	 0.44
26 	 11.512 	 0.455
27 	 11.981 	 0.462
28 	 12.438 	 0.449
29 	 12.92 	 0.474
30 	 13.38 	 0.452
31 	 13.867 	 0.479
32 	 14.293 	 0.417
33 	 14.754 	 0.453
34 	 15.175 	 0.413
35 	 15.611 	 0.429
36 	 16.057 	 0.439
37 	 16.501 	 0.436
38 	 16.92 	 0.411
39 	 17.33 	 0.403
TOTAL40 	 18.43
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
4c7375b222ca        etcd39              0.69%               126.4MiB / 62.13GiB   0.20%               0B / 0B             0B / 193kB          14
e2f94a71beff        etcd38              1.30%               38.15MiB / 62.13GiB   0.06%               0B / 0B             0B / 233kB          14
d5876b88869d        etcd37              3.38%               23.29MiB / 62.13GiB   0.04%               0B / 0B             0B / 242kB          14
8771f28f8550        etcd36              4.11%               23.88MiB / 62.13GiB   0.04%               0B / 0B             0B / 242kB          15
4684f81fa4ef        etcd35              4.05%               25.09MiB / 62.13GiB   0.04%               0B / 0B             0B / 254kB          18
8c40471223f0        etcd34              1.48%               25.11MiB / 62.13GiB   0.04%               0B / 0B             0B / 262kB          15
c3e037f2ea31        etcd33              1.41%               25.54MiB / 62.13GiB   0.04%               0B / 0B             0B / 270kB          19
c109589601c4        etcd32              0.61%               28.44MiB / 62.13GiB   0.04%               0B / 0B             0B / 274kB          16
88c806e1b2a4        etcd31              0.63%               28.06MiB / 62.13GiB   0.04%               0B / 0B             0B / 287kB          17
fffc248c02ee        etcd30              1.15%               24.88MiB / 62.13GiB   0.04%               0B / 0B             0B / 291kB          19
368dd1bbe69d        etcd29              1.20%               28.35MiB / 62.13GiB   0.04%               0B / 0B             0B / 303kB          14
b227b7016cd8        etcd28              1.41%               30.13MiB / 62.13GiB   0.05%               0B / 0B             0B / 315kB          14
5c456bb912ef        etcd27              2.07%               32.3MiB / 62.13GiB    0.05%               0B / 0B             0B / 319kB          14
d7bbf0cd8056        etcd26              2.24%               27.39MiB / 62.13GiB   0.04%               0B / 0B             0B / 328kB          16
430ffc49d3bf        etcd25              0.65%               27.55MiB / 62.13GiB   0.04%               0B / 0B             0B / 332kB          14
ce4f2d847147        etcd24              0.65%               115.1MiB / 62.13GiB   0.18%               0B / 0B             0B / 340kB          13
5a33d322e04d        etcd23              1.19%               38.3MiB / 62.13GiB    0.06%               0B / 0B             0B / 348kB          14
f40126896678        etcd22              1.17%               38.27MiB / 62.13GiB   0.06%               0B / 0B             0B / 373kB          14
a9f9022262f4        etcd21              0.62%               33.5MiB / 62.13GiB    0.05%               0B / 0B             0B / 377kB          13
d7a7f91933ea        etcd20              0.95%               35.8MiB / 62.13GiB    0.06%               0B / 0B             0B / 381kB          15
69dd2ff26c91        etcd19              2.19%               45.09MiB / 62.13GiB   0.07%               0B / 0B             0B / 385kB          13
363f5ffbe176        etcd18              2.23%               86.93MiB / 62.13GiB   0.14%               0B / 0B             0B / 389kB          17
e3f8cab0bf53        etcd17              1.58%               41.76MiB / 62.13GiB   0.07%               0B / 0B             0B / 385kB          16
92e2ecf01f24        etcd16              1.10%               48.36MiB / 62.13GiB   0.08%               0B / 0B             0B / 389kB          15
8bb96802bcdf        etcd15              1.12%               50.45MiB / 62.13GiB   0.08%               0B / 0B             0B / 385kB          14
80507d72e785        etcd14              1.18%               42.66MiB / 62.13GiB   0.07%               0B / 0B             0B / 393kB          15
954f70d1ff83        etcd13              3.56%               60.69MiB / 62.13GiB   0.10%               0B / 0B             0B / 397kB          17
5e0c360ed0d8        etcd12              1.29%               60.95MiB / 62.13GiB   0.10%               0B / 0B             0B / 397kB          14
4638d5cf6546        etcd11              1.23%               53.34MiB / 62.13GiB   0.08%               0B / 0B             0B / 406kB          13
f49deb20600a        etcd10              1.77%               60.18MiB / 62.13GiB   0.09%               0B / 0B             0B / 410kB          13
b5d1c78e2c34        etcd9               1.56%               68.88MiB / 62.13GiB   0.11%               0B / 0B             0B / 401kB          14
4d1ca282191c        etcd8               2.20%               59.03MiB / 62.13GiB   0.09%               0B / 0B             0B / 406kB          14
0a5b0852742c        etcd7               1.16%               49.16MiB / 62.13GiB   0.08%               0B / 0B             0B / 406kB          13
e9b6be26c56e        etcd6               0.61%               65.33MiB / 62.13GiB   0.10%               0B / 0B             0B / 410kB          13
c7c2443c02e4        etcd5               0.64%               60.92MiB / 62.13GiB   0.10%               0B / 0B             0B / 406kB          14
dd4c5146c2e2        etcd4               1.19%               69.7MiB / 62.13GiB    0.11%               0B / 0B             0B / 414kB          14
21ee89988636        etcd3               1.19%               117.7MiB / 62.13GiB   0.18%               0B / 0B             0B / 410kB          14
aea4f336d7f7        etcd2               0.75%               58.63MiB / 62.13GiB   0.09%               0B / 0B             0B / 410kB          14
6ff981d6e404        etcd1               0.65%               77.2MiB / 62.13GiB    0.12%               0B / 0B             0B / 414kB          14
b66af173a44c        etcd0               2.22%               75.08MiB / 62.13GiB   0.12%               0B / 0B             0B / 418kB          14
