num 	 Acumtime 	 TimeIns
0 	 0.362 	 0.319
1 	 0.749 	 0.38
2 	 1.15 	 0.394
3 	 1.568 	 0.411
4 	 1.952 	 0.377
5 	 2.372 	 0.412
6 	 2.789 	 0.41
7 	 3.175 	 0.379
8 	 3.609 	 0.426
9 	 4.075 	 0.458
10 	 4.515 	 0.433
11 	 4.932 	 0.409
12 	 5.331 	 0.392
13 	 5.712 	 0.374
14 	 6.161 	 0.441
15 	 6.583 	 0.413
16 	 7.003 	 0.412
17 	 7.453 	 0.442
18 	 7.921 	 0.46
19 	 8.349 	 0.42
20 	 8.808 	 0.452
21 	 9.234 	 0.418
22 	 9.674 	 0.432
23 	 10.114 	 0.431
24 	 10.551 	 0.429
25 	 11.014 	 0.455
26 	 11.534 	 0.512
27 	 12.01 	 0.467
28 	 12.483 	 0.465
29 	 12.98 	 0.489
30 	 13.428 	 0.44
31 	 13.915 	 0.48
32 	 14.442 	 0.518
33 	 14.951 	 0.501
34 	 15.403 	 0.444
35 	 15.86 	 0.449
36 	 16.349 	 0.481
37 	 16.833 	 0.476
38 	 17.288 	 0.447
39 	 17.75 	 0.454
40 	 18.236 	 0.478
41 	 18.711 	 0.466
42 	 19.209 	 0.49
43 	 19.671 	 0.454
44 	 20.191 	 0.511
45 	 20.664 	 0.465
46 	 21.126 	 0.455
47 	 21.598 	 0.465
48 	 22.099 	 0.493
49 	 22.562 	 0.456
TOTAL50 	 24.38
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
cea4ed60852c        etcd49              1.45%               25.39MiB / 62.13GiB   0.04%               0B / 0B             0B / 250kB          16
b24f713cbc87        etcd48              5.38%               28.91MiB / 62.13GiB   0.05%               0B / 0B             0B / 279kB          17
aae20716ff6d        etcd47              5.11%               27.66MiB / 62.13GiB   0.04%               0B / 0B             0B / 287kB          19
809e5dbb05b2        etcd46              4.91%               29.41MiB / 62.13GiB   0.05%               0B / 0B             0B / 299kB          17
909339c3a3a9        etcd45              1.85%               30.2MiB / 62.13GiB    0.05%               0B / 0B             0B / 307kB          16
b74a98023a42        etcd44              1.91%               30.32MiB / 62.13GiB   0.05%               0B / 0B             0B / 315kB          16
d02f2c87a76e        etcd43              0.73%               31.2MiB / 62.13GiB    0.05%               0B / 0B             0B / 324kB          14
9d5ff3e58750        etcd42              1.46%               30.13MiB / 62.13GiB   0.05%               0B / 0B             0B / 336kB          14
2c8050212de5        etcd41              1.45%               34.27MiB / 62.13GiB   0.05%               0B / 0B             0B / 340kB          14
ddbe1475f25b        etcd40              0.80%               29.81MiB / 62.13GiB   0.05%               0B / 0B             0B / 352kB          13
ce0fd670e4c9        etcd39              2.47%               31.71MiB / 62.13GiB   0.05%               0B / 0B             0B / 356kB          15
70fa16880cc2        etcd38              2.55%               34.62MiB / 62.13GiB   0.05%               0B / 0B             0B / 369kB          17
bdf4dfaa5425        etcd37              1.41%               37.95MiB / 62.13GiB   0.06%               0B / 0B             0B / 373kB          19
d49d183c7e11        etcd36              0.76%               40.2MiB / 62.13GiB    0.06%               0B / 0B             0B / 385kB          15
45c450cbb48e        etcd35              1.57%               41.86MiB / 62.13GiB   0.07%               0B / 0B             0B / 393kB          13
9b03d8963a25        etcd34              1.58%               41.82MiB / 62.13GiB   0.07%               0B / 0B             0B / 401kB          15
1166cb80c29a        etcd33              0.76%               50.02MiB / 62.13GiB   0.08%               0B / 0B             0B / 406kB          16
344f1f477417        etcd32              1.14%               42.75MiB / 62.13GiB   0.07%               0B / 0B             0B / 410kB          15
615e60221982        etcd31              2.47%               43.47MiB / 62.13GiB   0.07%               0B / 0B             0B / 426kB          16
b15a57cb4f3e        etcd30              2.22%               46.89MiB / 62.13GiB   0.07%               0B / 0B             0B / 434kB          17
9f2f1787298b        etcd29              0.76%               43.49MiB / 62.13GiB   0.07%               0B / 0B             0B / 438kB          17
1a5080785306        etcd28              1.41%               51.23MiB / 62.13GiB   0.08%               0B / 0B             0B / 442kB          16
e424ea827b8b        etcd27              1.42%               43.92MiB / 62.13GiB   0.07%               0B / 0B             0B / 451kB          18
78c327d2c0f8        etcd26              0.79%               54.96MiB / 62.13GiB   0.09%               0B / 0B             0B / 471kB          14
fb7d158af5e8        etcd25              1.59%               55.86MiB / 62.13GiB   0.09%               0B / 0B             0B / 479kB          15
3f4fb3fd186b        etcd24              1.58%               65.3MiB / 62.13GiB    0.10%               0B / 0B             0B / 483kB          14
137cc9eed532        etcd23              2.03%               82.47MiB / 62.13GiB   0.13%               0B / 0B             0B / 479kB          14
1fad7af267bf        etcd22              1.78%               62.73MiB / 62.13GiB   0.10%               0B / 0B             0B / 483kB          14
5faac4e21ede        etcd21              2.58%               65.72MiB / 62.13GiB   0.10%               0B / 0B             0B / 492kB          14
401fabc0cf70        etcd20              1.39%               73.76MiB / 62.13GiB   0.12%               0B / 0B             0B / 492kB          18
776aa2323050        etcd19              0.82%               55.52MiB / 62.13GiB   0.09%               0B / 0B             0B / 496kB          14
8730e9bad89f        etcd18              0.75%               54MiB / 62.13GiB      0.08%               0B / 0B             0B / 487kB          14
925d92977c23        etcd17              1.38%               75.45MiB / 62.13GiB   0.12%               0B / 0B             0B / 487kB          17
e005f96b3d4c        etcd16              1.42%               77.34MiB / 62.13GiB   0.12%               0B / 0B             0B / 496kB          14
346b130bfbe4        etcd15              0.77%               70.35MiB / 62.13GiB   0.11%               0B / 0B             0B / 496kB          14
2800ae14077b        etcd14              2.05%               65.37MiB / 62.13GiB   0.10%               0B / 0B             0B / 500kB          14
bc6b65d5b02a        etcd13              2.53%               76.5MiB / 62.13GiB    0.12%               0B / 0B             0B / 504kB          15
887ac0ea3a6c        etcd12              2.57%               89.71MiB / 62.13GiB   0.14%               0B / 0B             0B / 500kB          14
7096ade7cb88        etcd11              0.75%               90.16MiB / 62.13GiB   0.14%               0B / 0B             0B / 500kB          14
467dc747a641        etcd10              1.11%               63.21MiB / 62.13GiB   0.10%               0B / 0B             0B / 508kB          13
d3a697f6154d        etcd9               1.47%               98.8MiB / 62.13GiB    0.16%               0B / 0B             0B / 512kB          14
140b388a3c1b        etcd8               1.44%               89.46MiB / 62.13GiB   0.14%               0B / 0B             0B / 508kB          14
b549adf68af7        etcd7               0.76%               85.44MiB / 62.13GiB   0.13%               0B / 0B             0B / 508kB          14
96278463778f        etcd6               1.45%               79.74MiB / 62.13GiB   0.13%               0B / 0B             0B / 512kB          14
3cd2dfc553e7        etcd5               1.45%               219.1MiB / 62.13GiB   0.34%               0B / 0B             0B / 520kB          14
03dc84315199        etcd4               2.37%               97.84MiB / 62.13GiB   0.15%               0B / 0B             0B / 512kB          14
3f17897d1f63        etcd3               1.81%               74.06MiB / 62.13GiB   0.12%               0B / 0B             0B / 516kB          16
ebc1032d3dcc        etcd2               5.93%               123.8MiB / 62.13GiB   0.19%               0B / 0B             0B / 516kB          18
aa2bf603d768        etcd1               1.54%               93.98MiB / 62.13GiB   0.15%               0B / 0B             0B / 512kB          13
b25d58bf58a7        etcd0               1.53%               96MiB / 62.13GiB      0.15%               0B / 0B             0B / 516kB          14
