num 	 Acumtime 	 TimeIns
0 	 0.415 	 0.329
1 	 0.805 	 0.383
2 	 1.252 	 0.44
3 	 1.683 	 0.424
4 	 2.105 	 0.414
5 	 2.517 	 0.404
6 	 2.94 	 0.415
7 	 3.414 	 0.465
8 	 3.881 	 0.459
9 	 4.362 	 0.473
10 	 4.833 	 0.464
11 	 5.298 	 0.457
12 	 5.797 	 0.491
13 	 6.223 	 0.417
14 	 6.661 	 0.429
15 	 7.186 	 0.516
16 	 7.633 	 0.438
17 	 8.182 	 0.54
18 	 8.616 	 0.425
19 	 9.126 	 0.499
20 	 9.695 	 0.56
21 	 10.271 	 0.564
22 	 10.86 	 0.578
23 	 11.5 	 0.631
24 	 12.159 	 0.647
25 	 12.866 	 0.699
26 	 13.534 	 0.65
27 	 14.212 	 0.665
28 	 14.902 	 0.681
29 	 15.642 	 0.731
30 	 16.331 	 0.676
31 	 17.089 	 0.746
32 	 17.886 	 0.785
33 	 18.65 	 0.751
34 	 19.361 	 0.696
35 	 20.276 	 0.904
36 	 21.199 	 0.912
37 	 22.109 	 0.898
38 	 22.954 	 0.831
39 	 23.758 	 0.795
40 	 24.702 	 0.931
41 	 25.513 	 0.802
42 	 26.516 	 0.988
43 	 27.467 	 0.942
44 	 28.379 	 0.901
45 	 29.223 	 0.832
46 	 30.052 	 0.821
47 	 30.851 	 0.783
48 	 31.739 	 0.871
49 	 32.495 	 0.747
50 	 33.336 	 0.825
51 	 34.199 	 0.844
52 	 35.154 	 0.947
53 	 36.219 	 1.053
54 	 37.168 	 0.938
55 	 38.131 	 0.943
56 	 39.089 	 0.942
57 	 40.014 	 0.916
58 	 40.831 	 0.807
59 	 41.704 	 0.861
60 	 42.575 	 0.863
61 	 43.447 	 0.86
62 	 44.488 	 1.033
63 	 45.418 	 0.921
64 	 46.818 	 1.388
65 	 47.763 	 0.926
66 	 48.603 	 0.831
67 	 49.787 	 1.176
68 	 50.809 	 1.013
69 	 51.85 	 1.026
70 	 52.955 	 1.096
71 	 53.891 	 0.919
72 	 54.84 	 0.933
73 	 56.092 	 1.235
74 	 57.098 	 0.993
75 	 58.257 	 1.135
76 	 59.295 	 1.026
77 	 60.293 	 0.989
78 	 61.254 	 0.951
79 	 62.21 	 0.943
80 	 63.158 	 0.939
81 	 64.467 	 1.292
82 	 65.517 	 1.038
83 	 66.569 	 1.038
84 	 67.557 	 0.966
85 	 68.586 	 1.019
86 	 69.555 	 0.96
87 	 70.726 	 1.162
88 	 71.693 	 0.955
89 	 72.683 	 0.981
90 	 73.964 	 1.271
91 	 74.82 	 0.843
92 	 75.777 	 0.941
93 	 76.825 	 1.031
94 	 77.657 	 0.823
95 	 78.888 	 1.215
96 	 79.734 	 0.835
97 	 80.743 	 1.001
98 	 81.816 	 1.06
99 	 82.642 	 0.816
TOTAL100 	 87.733
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
6df78c11c6ca        etcd99              5.57%               51.91MiB / 62.13GiB   0.08%               0B / 0B             0B / 438kB          16
38c13a1e2d80        etcd98              2.24%               57.45MiB / 62.13GiB   0.09%               0B / 0B             0B / 492kB          16
0b3018fead1d        etcd97              3.22%               57.56MiB / 62.13GiB   0.09%               0B / 0B             0B / 492kB          17
3b80b51d8703        etcd96              2.59%               58.31MiB / 62.13GiB   0.09%               0B / 0B             0B / 549kB          19
562d385cfe54        etcd95              2.70%               58.22MiB / 62.13GiB   0.09%               0B / 0B             0B / 549kB          15
3db69fc61c3f        etcd94              2.87%               60.43MiB / 62.13GiB   0.09%               0B / 0B             0B / 541kB          17
05da60679ae3        etcd93              2.89%               62.3MiB / 62.13GiB    0.10%               0B / 0B             0B / 553kB          19
107fdf68b510        etcd92              3.34%               67.21MiB / 62.13GiB   0.11%               0B / 0B             0B / 582kB          15
a476706535d2        etcd91              3.27%               64.85MiB / 62.13GiB   0.10%               0B / 0B             0B / 557kB          17
7ed55462c35c        etcd90              2.74%               71.62MiB / 62.13GiB   0.11%               0B / 0B             0B / 594kB          19
7ac2497d618b        etcd89              2.79%               70.29MiB / 62.13GiB   0.11%               0B / 0B             0B / 594kB          20
6c0d8680401d        etcd88              2.70%               77.11MiB / 62.13GiB   0.12%               0B / 0B             0B / 602kB          17
6836b2f4e77f        etcd87              3.15%               76.98MiB / 62.13GiB   0.12%               0B / 0B             0B / 586kB          18
4e1b4da4868a        etcd86              2.54%               71.19MiB / 62.13GiB   0.11%               0B / 0B             0B / 614kB          18
13ecce05ff80        etcd85              2.65%               83.07MiB / 62.13GiB   0.13%               0B / 0B             0B / 614kB          19
5f53310614de        etcd84              2.62%               76.46MiB / 62.13GiB   0.12%               0B / 0B             0B / 569kB          20
93e4b79e73f6        etcd83              2.53%               110.5MiB / 62.13GiB   0.17%               0B / 0B             0B / 664kB          18
48a7b8b6ce8c        etcd82              3.23%               88.61MiB / 62.13GiB   0.14%               0B / 0B             0B / 647kB          20
5d09151fb21f        etcd81              2.59%               87.68MiB / 62.13GiB   0.14%               0B / 0B             0B / 643kB          18
73bc4000090c        etcd80              3.18%               86.36MiB / 62.13GiB   0.14%               0B / 0B             0B / 655kB          18
b6c715c1a200        etcd79              2.71%               90.25MiB / 62.13GiB   0.14%               0B / 0B             0B / 680kB          22
d7d8fb523f34        etcd78              2.48%               103.3MiB / 62.13GiB   0.16%               0B / 0B             0B / 709kB          24
18539305ecb3        etcd77              2.22%               110.6MiB / 62.13GiB   0.17%               0B / 0B             0B / 754kB          19
daf5c27a8259        etcd76              2.52%               107.6MiB / 62.13GiB   0.17%               0B / 0B             0B / 721kB          19
4e78f97783a8        etcd75              2.18%               104.1MiB / 62.13GiB   0.16%               0B / 0B             0B / 786kB          18
9e91420d8bc2        etcd74              2.86%               103.4MiB / 62.13GiB   0.16%               0B / 0B             0B / 741kB          19
40d0d9b13425        etcd73              2.66%               111.9MiB / 62.13GiB   0.18%               0B / 0B             0B / 762kB          18
fddbfa9405d4        etcd72              2.13%               122.9MiB / 62.13GiB   0.19%               0B / 0B             0B / 782kB          18
161b539d9c32        etcd71              2.27%               116MiB / 62.13GiB     0.18%               0B / 0B             0B / 823kB          17
6ffa134440a7        etcd70              2.41%               135MiB / 62.13GiB     0.21%               0B / 0B             0B / 811kB          21
5c58e77179bf        etcd69              2.75%               144.7MiB / 62.13GiB   0.23%               0B / 0B             0B / 840kB          18
c6043b0cd4c4        etcd68              2.72%               140.4MiB / 62.13GiB   0.22%               0B / 0B             0B / 844kB          18
95250994f18c        etcd67              2.57%               143MiB / 62.13GiB     0.22%               0B / 0B             0B / 856kB          18
9ac2dc868e35        etcd66              2.43%               168.4MiB / 62.13GiB   0.26%               0B / 0B             0B / 860kB          19
66dea5abc4ea        etcd65              2.54%               165.5MiB / 62.13GiB   0.26%               0B / 0B             0B / 864kB          19
99b6975bee5b        etcd64              3.14%               165.3MiB / 62.13GiB   0.26%               0B / 0B             0B / 885kB          19
6e8c0ce90063        etcd63              2.54%               170.9MiB / 62.13GiB   0.27%               0B / 0B             0B / 913kB          17
3e712cb568ff        etcd62              2.80%               165.4MiB / 62.13GiB   0.26%               0B / 0B             0B / 905kB          18
5330a2e59bd0        etcd61              2.45%               171.4MiB / 62.13GiB   0.27%               0B / 0B             0B / 958kB          18
7afb9245baaa        etcd60              2.83%               166.1MiB / 62.13GiB   0.26%               0B / 0B             0B / 958kB          18
673aa9d0137d        etcd59              2.45%               189.1MiB / 62.13GiB   0.30%               0B / 0B             0B / 934kB          18
54ec996b625d        etcd58              2.53%               206.6MiB / 62.13GiB   0.32%               0B / 0B             0B / 995kB          18
bd0b87447930        etcd57              2.72%               201.2MiB / 62.13GiB   0.32%               0B / 0B             0B / 958kB          16
