num 	 Acumtime 	 TimeIns
0 	 0.397 	 0.317
1 	 0.809 	 0.404
2 	 1.236 	 0.42
3 	 1.673 	 0.429
4 	 2.086 	 0.406
5 	 2.484 	 0.39
6 	 2.944 	 0.452
7 	 3.389 	 0.437
8 	 3.868 	 0.471
9 	 4.338 	 0.461
10 	 4.807 	 0.461
11 	 5.261 	 0.446
12 	 5.746 	 0.476
13 	 6.195 	 0.441
14 	 6.678 	 0.475
15 	 7.162 	 0.475
16 	 7.69 	 0.518
17 	 8.169 	 0.47
18 	 8.655 	 0.478
19 	 9.202 	 0.539
20 	 9.756 	 0.545
21 	 10.338 	 0.57
22 	 11.021 	 0.674
23 	 11.631 	 0.6
24 	 12.328 	 0.688
25 	 12.98 	 0.64
26 	 13.604 	 0.615
27 	 14.282 	 0.663
28 	 14.978 	 0.684
29 	 15.65 	 0.652
30 	 16.315 	 0.656
31 	 17.18 	 0.852
32 	 17.978 	 0.784
33 	 18.688 	 0.696
34 	 19.444 	 0.748
35 	 20.274 	 0.82
36 	 21.082 	 0.799
37 	 21.954 	 0.851
38 	 22.769 	 0.803
39 	 23.599 	 0.811
40 	 24.643 	 1.033
41 	 25.566 	 0.911
42 	 26.392 	 0.81
43 	 27.253 	 0.849
44 	 28.172 	 0.908
45 	 29.124 	 0.936
46 	 30.075 	 0.934
47 	 30.954 	 0.863
48 	 31.791 	 0.823
49 	 32.613 	 0.803
50 	 33.352 	 0.724
51 	 34.493 	 1.132
52 	 35.316 	 0.814
53 	 36.311 	 0.986
54 	 37.285 	 0.952
55 	 38.175 	 0.875
56 	 39.02 	 0.82
57 	 39.956 	 0.928
58 	 40.799 	 0.831
59 	 41.927 	 1.11
60 	 42.746 	 0.805
61 	 43.752 	 0.989
62 	 44.494 	 0.733
63 	 45.503 	 0.998
64 	 46.365 	 0.849
65 	 47.172 	 0.798
66 	 48.159 	 0.978
67 	 49.212 	 1.045
68 	 50.141 	 0.918
69 	 51.41 	 1.257
70 	 52.318 	 0.894
71 	 53.181 	 0.854
72 	 54.057 	 0.866
73 	 55.114 	 1.043
74 	 55.957 	 0.83
75 	 57.096 	 1.125
76 	 58.087 	 0.977
77 	 59.142 	 1.04
78 	 60.158 	 1.002
79 	 61.478 	 1.303
80 	 62.31 	 0.814
81 	 63.791 	 1.469
82 	 64.908 	 1.099
83 	 66.017 	 1.097
84 	 67.224 	 1.195
85 	 68.376 	 1.143
86 	 69.698 	 1.31
87 	 70.743 	 1.034
88 	 71.763 	 1.01
89 	 73.257 	 1.48
90 	 74.45 	 1.183
91 	 75.389 	 0.927
92 	 76.781 	 1.38
93 	 77.812 	 1.019
94 	 78.807 	 0.984
95 	 79.696 	 0.872
96 	 80.548 	 0.843
97 	 81.402 	 0.843
98 	 82.316 	 0.903
99 	 83.159 	 0.834
TOTAL100 	 88.785
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
a5cd4cef13cb        etcd99              2.82%               57.16MiB / 62.13GiB   0.09%               0B / 0B             0B / 434kB          18
f63c3792e82d        etcd98              2.44%               57.25MiB / 62.13GiB   0.09%               0B / 0B             0B / 455kB          14
d262d1e6cfe5        etcd97              2.91%               57.43MiB / 62.13GiB   0.09%               0B / 0B             0B / 516kB          18
ddb46ba29f10        etcd96              2.65%               52.69MiB / 62.13GiB   0.08%               0B / 0B             0B / 524kB          16
38b2c86e4c3a        etcd95              2.87%               57.86MiB / 62.13GiB   0.09%               0B / 0B             0B / 508kB          17
9495dba1e96c        etcd94              2.64%               58.17MiB / 62.13GiB   0.09%               0B / 0B             0B / 565kB          21
10f885725740        etcd93              2.71%               57.52MiB / 62.13GiB   0.09%               0B / 0B             0B / 594kB          17
2379c30b0436        etcd92              2.73%               66.07MiB / 62.13GiB   0.10%               0B / 0B             0B / 532kB          19
3beacb1782db        etcd91              2.74%               66.05MiB / 62.13GiB   0.10%               0B / 0B             0B / 635kB          17
b089f210b02d        etcd90              2.61%               70.4MiB / 62.13GiB    0.11%               0B / 0B             0B / 561kB          17
92b188da71d8        etcd89              3.16%               77.21MiB / 62.13GiB   0.12%               0B / 0B             0B / 618kB          17
d853c6f8cd0f        etcd88              2.38%               75.84MiB / 62.13GiB   0.12%               0B / 0B             0B / 602kB          17
ef593a9e0c7b        etcd87              2.68%               79.09MiB / 62.13GiB   0.12%               0B / 0B             0B / 631kB          17
a1346c450449        etcd86              2.53%               74.43MiB / 62.13GiB   0.12%               0B / 0B             0B / 655kB          17
caaea1182d2d        etcd85              2.66%               79.78MiB / 62.13GiB   0.13%               0B / 0B             0B / 651kB          20
2a5c26e8f3c0        etcd84              2.55%               78.36MiB / 62.13GiB   0.12%               0B / 0B             0B / 651kB          19
acdd21055bad        etcd83              3.24%               74.88MiB / 62.13GiB   0.12%               0B / 0B             0B / 631kB          18
a1b468687587        etcd82              2.95%               83.25MiB / 62.13GiB   0.13%               0B / 0B             0B / 623kB          19
ae3e19e989fd        etcd81              2.67%               84.82MiB / 62.13GiB   0.13%               0B / 0B             0B / 680kB          19
f7b00263a849        etcd80              2.41%               103MiB / 62.13GiB     0.16%               0B / 0B             0B / 696kB          19
9fa303097887        etcd79              3.19%               109.1MiB / 62.13GiB   0.17%               0B / 0B             0B / 717kB          19
284cb4944748        etcd78              2.52%               100.9MiB / 62.13GiB   0.16%               0B / 0B             0B / 700kB          19
c460f73c470c        etcd77              2.39%               88.84MiB / 62.13GiB   0.14%               0B / 0B             0B / 672kB          19
ed36fb0bf2af        etcd76              2.58%               112.5MiB / 62.13GiB   0.18%               0B / 0B             0B / 737kB          18
7f99f0c6e181        etcd75              2.70%               118.9MiB / 62.13GiB   0.19%               0B / 0B             0B / 741kB          19
d29fb593f447        etcd74              2.64%               130.4MiB / 62.13GiB   0.20%               0B / 0B             0B / 791kB          21
23fd755d078b        etcd73              2.47%               128.7MiB / 62.13GiB   0.20%               0B / 0B             0B / 709kB          19
8bc990d6d3e5        etcd72              2.92%               128.7MiB / 62.13GiB   0.20%               0B / 0B             0B / 795kB          20
12d507485701        etcd71              2.90%               132.4MiB / 62.13GiB   0.21%               0B / 0B             0B / 795kB          17
5df048f463ed        etcd70              2.93%               137.5MiB / 62.13GiB   0.22%               0B / 0B             0B / 795kB          18
01f7418f6773        etcd69              2.87%               164MiB / 62.13GiB     0.26%               0B / 0B             0B / 848kB          20
b47e8ce0b5eb        etcd68              2.36%               138.1MiB / 62.13GiB   0.22%               0B / 0B             0B / 848kB          19
7c93b3bd97a3        etcd67              2.77%               146.1MiB / 62.13GiB   0.23%               0B / 0B             0B / 836kB          18
82cb431819c0        etcd66              2.89%               149.6MiB / 62.13GiB   0.24%               0B / 0B             0B / 852kB          18
f39c2644cacf        etcd65              2.88%               163.6MiB / 62.13GiB   0.26%               0B / 0B             0B / 848kB          18
f8c9da8fc87e        etcd64              2.80%               161.1MiB / 62.13GiB   0.25%               0B / 0B             0B / 872kB          17
2b746987cff3        etcd63              2.78%               145.1MiB / 62.13GiB   0.23%               0B / 0B             0B / 905kB          17
c5faf1741dca        etcd62              2.99%               176.8MiB / 62.13GiB   0.28%               0B / 0B             0B / 905kB          16
91f0565ede61        etcd61              2.98%               237.9MiB / 62.13GiB   0.37%               0B / 0B             0B / 877kB          22
6caad1a3b122        etcd60              2.43%               155MiB / 62.13GiB     0.24%               0B / 0B             0B / 901kB          18
6d56abd0807d        etcd59              2.57%               201.1MiB / 62.13GiB   0.32%               0B / 0B             0B / 881kB          17
