Creating cluster of 100 nodes
Percentage Leaving 20%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
56d9a7eb4073        etcd99              2.69%               53.18MiB / 62.13GiB   0.08%               0B / 0B             0B / 422kB          21
8d19a38dc7d7        etcd98              2.78%               56.65MiB / 62.13GiB   0.09%               0B / 0B             0B / 483kB          15
cec5d9b6aba4        etcd97              3.04%               59.67MiB / 62.13GiB   0.09%               0B / 0B             0B / 467kB          17
95c2c426d9ba        etcd96              2.84%               59.5MiB / 62.13GiB    0.09%               0B / 0B             0B / 500kB          16
3d989e4a24d6        etcd95              3.03%               57.3MiB / 62.13GiB    0.09%               0B / 0B             0B / 524kB          17
eb3722940f24        etcd94              2.50%               58.38MiB / 62.13GiB   0.09%               0B / 0B             0B / 549kB          16
681cf5a90890        etcd93              2.63%               63.87MiB / 62.13GiB   0.10%               0B / 0B             0B / 524kB          17
d842324326aa        etcd92              2.88%               66.38MiB / 62.13GiB   0.10%               0B / 0B             0B / 569kB          18
be00a2ba9d18        etcd91              2.85%               74.99MiB / 62.13GiB   0.12%               0B / 0B             0B / 598kB          16
c1f38c12cfc9        etcd90              3.23%               68.34MiB / 62.13GiB   0.11%               0B / 0B             0B / 578kB          17
79f6b4668dc7        etcd89              2.23%               67.98MiB / 62.13GiB   0.11%               0B / 0B             0B / 549kB          16
ac1ef665b4b0        etcd88              2.62%               72.2MiB / 62.13GiB    0.11%               0B / 0B             0B / 582kB          21
7ca0eeba2a86        etcd87              2.54%               77.12MiB / 62.13GiB   0.12%               0B / 0B             0B / 635kB          16
439d00a807bd        etcd86              2.66%               71.99MiB / 62.13GiB   0.11%               0B / 0B             0B / 610kB          17
113c4f89b507        etcd85              2.87%               72.71MiB / 62.13GiB   0.11%               0B / 0B             0B / 610kB          17
87029f938386        etcd84              2.56%               77.95MiB / 62.13GiB   0.12%               0B / 0B             0B / 590kB          21
51c852318a23        etcd83              2.41%               77.82MiB / 62.13GiB   0.12%               0B / 0B             0B / 606kB          19
b41cf9782b20        etcd82              2.72%               87.33MiB / 62.13GiB   0.14%               0B / 0B             0B / 672kB          19
f0fb0f99360f        etcd81              2.47%               96.82MiB / 62.13GiB   0.15%               0B / 0B             0B / 651kB          21
58687d5359cd        etcd80              2.52%               84.19MiB / 62.13GiB   0.13%               0B / 0B             0B / 598kB          21
4cb735045f50        etcd79              2.82%               101.3MiB / 62.13GiB   0.16%               0B / 0B             0B / 696kB          18
b61f69d8bc14        etcd78              2.32%               126.5MiB / 62.13GiB   0.20%               0B / 0B             0B / 696kB          19
c13b79975976        etcd77              2.50%               102.8MiB / 62.13GiB   0.16%               0B / 0B             0B / 733kB          19
5d258bdee19a        etcd76              2.62%               106.3MiB / 62.13GiB   0.17%               0B / 0B             0B / 729kB          21
a7ccc013a5b0        etcd75              3.12%               118.4MiB / 62.13GiB   0.19%               0B / 0B             0B / 733kB          19
0e0525ba55c5        etcd74              2.96%               106.9MiB / 62.13GiB   0.17%               0B / 0B             0B / 733kB          18
1ac3282fa2ee        etcd73              2.89%               99.53MiB / 62.13GiB   0.16%               0B / 0B             0B / 774kB          19
9e881b6ba2ba        etcd72              2.73%               122.5MiB / 62.13GiB   0.19%               0B / 0B             0B / 774kB          18
2d9e636346d6        etcd71              2.51%               137MiB / 62.13GiB     0.22%               0B / 0B             0B / 766kB          19
0176316213a3        etcd70              2.69%               100.2MiB / 62.13GiB   0.16%               0B / 0B             0B / 782kB          22
7073994741d8        etcd69              2.64%               115.3MiB / 62.13GiB   0.18%               0B / 0B             0B / 799kB          16
e75afba7f4af        etcd68              2.76%               129.4MiB / 62.13GiB   0.20%               0B / 0B             0B / 807kB          19
a914d0368cd8        etcd67              2.61%               142.6MiB / 62.13GiB   0.22%               0B / 0B             0B / 831kB          18
9220ba396019        etcd66              2.56%               152.1MiB / 62.13GiB   0.24%               0B / 0B             0B / 860kB          18
034e89d929a4        etcd65              2.62%               135.7MiB / 62.13GiB   0.21%               0B / 0B             0B / 856kB          19
1593020b8b8f        etcd64              2.36%               148MiB / 62.13GiB     0.23%               0B / 0B             0B / 848kB          18
661bf6f5e612        etcd63              2.30%               165.6MiB / 62.13GiB   0.26%               0B / 0B             0B / 881kB          17
384b6cf5cb92        etcd62              2.90%               159.1MiB / 62.13GiB   0.25%               0B / 0B             0B / 926kB          18
a438be0f15da        etcd61              2.77%               177.8MiB / 62.13GiB   0.28%               0B / 0B             0B / 901kB          18
