CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1c9a60838c9e        etcd29              1.55%               27.62MiB / 373.8GiB   0.01%               0B / 0B             0B / 758kB          38
03df50d5177e        etcd28              2.18%               28.83MiB / 373.8GiB   0.01%               0B / 0B             0B / 778kB          39
ce2143290f75        etcd27              2.29%               28.59MiB / 373.8GiB   0.01%               0B / 0B             0B / 791kB          36
2bd554865ea0        etcd26              2.21%               28.32MiB / 373.8GiB   0.01%               0B / 0B             0B / 795kB          37
88a9acbf7c28        etcd25              1.49%               29.33MiB / 373.8GiB   0.01%               0B / 0B             0B / 799kB          40
420d712dbd14        etcd24              2.47%               30.18MiB / 373.8GiB   0.01%               0B / 0B             0B / 807kB          37
01eeaa0247be        etcd23              2.40%               30.66MiB / 373.8GiB   0.01%               0B / 0B             0B / 815kB          37
7852bcea5add        etcd22              2.22%               31.45MiB / 373.8GiB   0.01%               0B / 0B             0B / 827kB          33
98311133aa70        etcd21              2.64%               32.16MiB / 373.8GiB   0.01%               0B / 0B             0B / 831kB          35
8f9de6ea1854        etcd20              3.59%               31.85MiB / 373.8GiB   0.01%               0B / 0B             0B / 836kB          37
7ae252c9f98d        etcd19              2.21%               34.83MiB / 373.8GiB   0.01%               0B / 0B             0B / 844kB          36
790c5c3f87e0        etcd18              2.21%               35.82MiB / 373.8GiB   0.01%               0B / 0B             0B / 852kB          35
6064c4adf139        etcd17              1.45%               35.24MiB / 373.8GiB   0.01%               0B / 0B             0B / 864kB          33
431cb48741fd        etcd16              2.55%               34.62MiB / 373.8GiB   0.01%               0B / 0B             0B / 868kB          38
91e3b27f7220        etcd15              2.51%               36.97MiB / 373.8GiB   0.01%               0B / 0B             0B / 881kB          50
507ac7601f85        etcd14              2.17%               36.75MiB / 373.8GiB   0.01%               0B / 0B             0B / 889kB          44
96070fa723ff        etcd13              1.40%               42.29MiB / 373.8GiB   0.01%               0B / 0B             0B / 889kB          33
4a915622da4c        etcd12              1.48%               35.34MiB / 373.8GiB   0.01%               0B / 0B             0B / 889kB          38
a33caf4c38b7        etcd11              2.74%               36.02MiB / 373.8GiB   0.01%               0B / 0B             0B / 893kB          33
253c021c292f        etcd10              3.29%               42.88MiB / 373.8GiB   0.01%               0B / 0B             0B / 893kB          36
997fabed7661        etcd9               8.71%               96.09MiB / 373.8GiB   0.03%               0B / 0B             0B / 893kB          53
87860f99f9f3        etcd8               2.59%               42.88MiB / 373.8GiB   0.01%               0B / 0B             0B / 897kB          52
72a204658153        etcd7               2.30%               41.43MiB / 373.8GiB   0.01%               0B / 0B             0B / 897kB          42
67e719ede09b        etcd6               2.05%               42.68MiB / 373.8GiB   0.01%               0B / 0B             0B / 901kB          35
e932634ef54d        etcd5               1.27%               45.04MiB / 373.8GiB   0.01%               0B / 0B             0B / 901kB          36
36fce73b16f6        etcd4               1.45%               45.72MiB / 373.8GiB   0.01%               0B / 0B             0B / 901kB          37
2aaf09b492fe        etcd3               2.13%               44.01MiB / 373.8GiB   0.01%               0B / 0B             0B / 905kB          40
5ae37ffe48c3        etcd2               3.06%               47.68MiB / 373.8GiB   0.01%               0B / 0B             0B / 905kB          35
ff96100f5b3c        etcd1               2.19%               50.2MiB / 373.8GiB    0.01%               0B / 0B             0B / 905kB          42
e61a46fed697        etcd0               2.43%               56.19MiB / 373.8GiB   0.01%               0B / 0B             0B / 905kB          54
