num 	 Acumtime 	 TimeIns
0 	 1 	 1
1 	 2 	 1
2 	 2 	 0
3 	 2 	 0
4 	 3 	 1
5 	 3 	 0
6 	 4 	 1
7 	 4 	 0
8 	 5 	 1
9 	 5 	 0
10 	 6 	 1
11 	 6 	 0
12 	 7 	 1
13 	 7 	 0
14 	 8 	 1
15 	 9 	 1
16 	 9 	 0
17 	 10 	 1
18 	 11 	 1
19 	 11 	 0
20 	 12 	 1
21 	 13 	 1
22 	 13 	 0
23 	 14 	 1
24 	 15 	 1
25 	 16 	 1
26 	 16 	 0
27 	 17 	 1
28 	 18 	 1
29 	 19 	 1
30 	 19 	 0
31 	 20 	 1
32 	 21 	 1
33 	 22 	 1
34 	 23 	 1
35 	 24 	 1
36 	 25 	 1
37 	 26 	 1
38 	 27 	 1
39 	 28 	 1
40 	 29 	 1
41 	 30 	 1
42 	 31 	 1
43 	 32 	 1
44 	 33 	 1
45 	 35 	 2
46 	 36 	 1
47 	 37 	 1
48 	 38 	 1
49 	 39 	 1
50 	 40 	 1
51 	 42 	 2
52 	 43 	 1
53 	 44 	 1
54 	 46 	 2
55 	 47 	 1
56 	 49 	 2
57 	 50 	 1
58 	 51 	 1
59 	 53 	 2
60 	 54 	 1
61 	 56 	 2
62 	 57 	 1
63 	 58 	 1
64 	 60 	 2
65 	 61 	 1
66 	 63 	 2
67 	 65 	 2
68 	 67 	 2
69 	 69 	 2
70 	 70 	 1
71 	 72 	 2
72 	 74 	 2
73 	 76 	 2
74 	 77 	 1
75 	 79 	 2
76 	 81 	 2
77 	 83 	 2
78 	 85 	 2
79 	 87 	 2
80 	 89 	 2
81 	 91 	 2
